==> /mnt/v0/result_v2/datasets/1351[0.001].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323208,4,0,0,2560,0
0,0,2,0,0,0,1538323205,5,0,0,49152,1
0,0,2,0,0,0,1538323201,0,0,0,1024,1
0,0,2,0,0,0,1538323206,5,0,0,36864,1
0,0,2,0,0,0,1538323210,8,0,0,61440,0
0,0,2,0,0,0,1538323206,4,0,0,53248,1
0,0,2,0,0,0,1538323206,4,0,0,53248,1
0,0,2,0,0,0,1538323206,4,0,0,8192,1
0,0,3,0,0,0,1538323211,4,0,0,4096,0

==> /mnt/v0/result_v2/datasets/1351[0.001,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2,0,0,0,1538323204,4,0,0,1,1
0,0,2,0,0,0,1538323201,0,0,0,1,1
0,0,2,0,0,0,1538323204,0,0,0,1,1
0,0,2,0,0,0,1538323204,0,0,0,1,1
0,0,2,0,0,0,1538323205,0,0,0,1,1
0,0,2,0,0,0,1538323207,1,0,0,1,1
0,0,2,0,0,0,1538323211,3,0,0,1,1
0,0,2,0,0,0,1538323215,0,0,0,1,1
0,0,2,0,0,0,1538323215,0,0,0,1,1

==> /mnt/v0/result_v2/datasets/1351[0.01].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2,0,0,0,1538323235,36,0,0,53248,1
0,0,2,0,0,0,1538323282,83,0,0,65536,1
0,0,2,0,0,0,1538323260,60,0,0,24576,1
0,0,2,0,0,0,1538323229,29,0,0,4096,1
0,0,19,0,0,0,1538323308,4,0,0,4096,0
0,0,2,0,0,0,1538323215,15,0,0,65536,1
0,0,2,0,0,0,1538323229,29,0,0,65536,1
0,0,2,0,0,0,1538323215,15,0,0,8192,1
0,0,2,0,0,0,1538323264,64,0,0,8192,1

==> /mnt/v0/result_v2/datasets/1351[0.01,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,2,0,0,0,1538323235,36,0,0,1,1
0,0,2,0,0,0,1538323229,29,0,0,1,1
0,0,8,0,0,0,1538323234,10,0,0,1,0
0,0,2,0,0,0,1538323215,15,0,0,1,1
0,0,2,0,0,0,1538323229,29,0,0,1,1
0,0,2,0,0,0,1538323215,15,0,0,1,1
0,0,3,0,0,0,1538323234,15,0,0,1,1
0,0,2,0,0,0,1538323236,36,0,0,1,1
0,0,2,0,0,0,1538323231,31,0,0,1,1

==> /mnt/v0/result_v2/datasets/1351[0.1].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323447,61,0,0,36864,1
0,0,12,0,0,0,1538325917,71,0,0,20480,0
0,0,2,0,0,0,1538323235,36,0,0,53248,1
0,0,2,0,0,0,1538324878,1679,0,0,4096,0
0,0,4,0,0,0,1538324488,810,0,0,65536,1
0,0,2,0,0,0,1538323260,60,0,0,24576,1
0,0,6,0,0,0,1538325933,54,0,0,24576,0
0,0,3,0,0,0,1538325617,1802,0,0,8192,0
0,0,9,0,0,0,1538325929,379,0,0,4096,0

==> /mnt/v0/result_v2/datasets/1351[0.1,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323447,61,0,0,1,1
0,0,4,0,0,0,1538323621,174,0,0,1,0
0,0,2,0,0,0,1538323235,36,0,0,1,1
0,0,3,0,0,0,1538323678,396,0,0,1,0
0,0,2,0,0,0,1538323260,60,0,0,1,1
0,0,2,0,0,0,1538323815,615,0,0,1,1
0,0,3,0,0,0,1538323748,223,0,0,1,0
0,0,3,0,0,0,1538323492,263,0,0,1,0
0,0,2,0,0,0,1538323525,325,0,0,1,0

==> /mnt/v0/result_v2/datasets/1351[0.2].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323447,61,0,0,36864,1
0,0,65,0,0,0,1538337590,430,0,0,364544,0
0,0,5,0,0,0,1538329983,10,0,0,53248,0
0,0,12,0,0,0,1538337635,1579,0,0,4096,0
0,0,9,0,0,0,1538336102,778,0,0,4096,0
0,0,10,0,0,0,1538337766,967,0,0,61440,0
0,0,2,0,0,0,1538323260,60,0,0,24576,1
0,0,37,0,0,0,1538336669,869,0,0,24576,0
0,0,18,0,0,0,1538337600,658,0,0,8192,0

==> /mnt/v0/result_v2/datasets/1351[0.2,ignore_obj_size].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323447,61,0,0,1,1
0,0,7,0,0,0,1538325013,483,0,0,1,0
0,0,2,0,0,0,1538323235,36,0,0,1,1
0,0,2,0,0,0,1538324878,1679,0,0,1,1
0,0,4,0,0,0,1538324488,810,0,0,1,1
0,0,2,0,0,0,1538323260,60,0,0,1,1
0,0,3,0,0,0,1538324837,199,0,0,1,0
0,0,2,0,0,0,1538323815,615,0,0,1,0
0,0,6,0,0,0,1538324724,347,0,0,1,0

==> /mnt/v0/result_v2/datasets/1351[0.4].csv <==
prev_promotion, prev_is_wasted, last_promotion, last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, obj_size, wasted
0,0,3,0,0,0,1538323447,61,0,0,36864,1
0,0,203,0,0,0,1538373055,542,0,0,348160,0
0,0,25,0,0,0,1538372528,4778,0,0,49152,0
0,0,31,0,0,0,1538373374,2537,0,0,4096,0
0,0,33,0,0,0,1538373064,2676,0,0,4096,0
0,0,28,0,0,0,1538367469,4336,0,0,65536,0
0,0,2,0,0,0,1538323260,60,0,0,24576,1
0,0,116,0,0,0,1538373082,911,0,0,24576,0
0,0,58,0,0,0,1538372980,688,0,0,8192,0

==> /mnt/v0/result_v2/datasets/1351[0.4,ignore_obj_size].csv <==
