==> 1351[0.001].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323208,4,0,0,200407872,2560,3,3,0
0,0,0,1538323205,5,0,0,200407872,49152,2,2,1
0,0,0,1538323201,0,0,0,200407872,1024,2,2,1
0,0,0,1538323206,5,0,0,200407872,36864,2,2,1
0,0,0,1538323210,8,0,0,200407872,61440,2,2,0
0,0,0,1538323206,4,0,0,200407872,53248,2,2,1
0,0,0,1538323206,4,0,0,200407872,53248,2,2,1
0,0,0,1538323206,4,0,0,200407872,8192,2,2,1
0,0,0,1538323211,4,0,0,200407872,4096,3,3,0

==> 1351[0.001,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323204,4,0,0,1496,1,2,2,1
0,0,0,1538323201,0,0,0,1496,1,2,2,1
0,0,0,1538323204,0,0,0,1496,1,2,2,1
0,0,0,1538323204,0,0,0,1496,1,2,2,1
0,0,0,1538323205,0,0,0,1496,1,2,2,1
0,0,0,1538323207,1,0,0,1496,1,2,2,1
0,0,0,1538323211,3,0,0,1496,1,2,2,1
0,0,0,1538323215,0,0,0,1496,1,2,2,1
0,0,0,1538323215,0,0,0,1496,1,2,2,1

==> 1351[0.01].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323235,36,0,0,2004078592,53248,2,2,1
0,0,0,1538323282,83,0,0,2004078592,65536,2,2,1
0,0,0,1538323260,60,0,0,2004078592,24576,2,2,1
0,0,0,1538323229,29,0,0,2004078592,4096,2,2,1
0,0,0,1538323308,4,0,0,2004078592,4096,19,19,0
0,0,0,1538323215,15,0,0,2004078592,65536,2,2,1
0,0,0,1538323229,29,0,0,2004078592,65536,2,2,1
0,0,0,1538323215,15,0,0,2004078592,8192,2,2,1
0,0,0,1538323264,64,0,0,2004078592,8192,2,2,1

==> 1351[0.01,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323235,36,0,0,14965,1,2,2,1
0,0,0,1538323229,29,0,0,14965,1,2,2,1
0,0,0,1538323234,10,0,0,14965,1,8,8,0
0,0,0,1538323215,15,0,0,14965,1,2,2,1
0,0,0,1538323229,29,0,0,14965,1,2,2,1
0,0,0,1538323215,15,0,0,14965,1,2,2,1
0,0,0,1538323234,15,0,0,14965,1,3,3,1
0,0,0,1538323236,36,0,0,14965,1,2,2,1
0,0,0,1538323231,31,0,0,14965,1,2,2,1

==> 1351[0.1].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,20040785920,36864,3,3,1
0,0,0,1538325917,71,0,0,20040785920,20480,12,12,0
0,0,0,1538323235,36,0,0,20040785920,53248,2,2,1
0,0,0,1538324878,1679,0,0,20040785920,4096,2,2,0
0,0,0,1538324488,810,0,0,20040785920,65536,4,4,1
0,0,0,1538323260,60,0,0,20040785920,24576,2,2,1
0,0,0,1538325933,54,0,0,20040785920,24576,6,6,0
0,0,0,1538325617,1802,0,0,20040785920,8192,3,3,0
0,0,0,1538325929,379,0,0,20040785920,4096,9,9,0

==> 1351[0.1,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,149651,1,3,3,1
0,0,0,1538323621,174,0,0,149651,1,4,4,0
0,0,0,1538323235,36,0,0,149651,1,2,2,1
0,0,0,1538323678,396,0,0,149651,1,3,3,0
0,0,0,1538323260,60,0,0,149651,1,2,2,1
0,0,0,1538323815,615,0,0,149651,1,2,2,1
0,0,0,1538323748,223,0,0,149651,1,3,3,0
0,0,0,1538323492,263,0,0,149651,1,3,3,0
0,0,0,1538323525,325,0,0,149651,1,2,2,0

==> 1351[0.2].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,40081571840,36864,3,3,1
0,0,0,1538337590,430,0,0,40081571840,364544,65,65,0
0,0,0,1538329983,10,0,0,40081571840,53248,5,5,0
0,0,0,1538337635,1579,0,0,40081571840,4096,12,12,0
0,0,0,1538336102,778,0,0,40081571840,4096,9,9,0
0,0,0,1538337766,967,0,0,40081571840,61440,10,10,0
0,0,0,1538323260,60,0,0,40081571840,24576,2,2,1
0,0,0,1538336669,869,0,0,40081571840,24576,37,37,0
0,0,0,1538337600,658,0,0,40081571840,8192,18,18,0

==> 1351[0.2,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,299303,1,3,3,1
0,0,0,1538325013,483,0,0,299303,1,7,7,0
0,0,0,1538323235,36,0,0,299303,1,2,2,1
0,0,0,1538324878,1679,0,0,299303,1,2,2,1
0,0,0,1538324488,810,0,0,299303,1,4,4,1
0,0,0,1538323260,60,0,0,299303,1,2,2,1
0,0,0,1538324837,199,0,0,299303,1,3,3,0
0,0,0,1538323815,615,0,0,299303,1,2,2,0
0,0,0,1538324724,347,0,0,299303,1,6,6,0

==> 1351[0.4].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,80163143680,36864,3,3,1
0,0,0,1538373055,542,0,0,80163143680,348160,203,203,0
0,0,0,1538372528,4778,0,0,80163143680,49152,25,25,0
0,0,0,1538373374,2537,0,0,80163143680,4096,31,31,0
0,0,0,1538373064,2676,0,0,80163143680,4096,33,33,0
0,0,0,1538367469,4336,0,0,80163143680,65536,28,28,0
0,0,0,1538323260,60,0,0,80163143680,24576,2,2,1
0,0,0,1538373082,911,0,0,80163143680,24576,116,116,0
0,0,0,1538372980,688,0,0,80163143680,8192,58,58,0

==> 1351[0.4,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1538323447,61,0,0,598606,1,3,3,1
0,0,0,1538338318,61,0,0,598606,1,67,67,0
0,0,0,1538329983,10,0,0,598606,1,5,5,0
0,0,0,1538337635,1579,0,0,598606,1,12,12,0
0,0,0,1538336102,778,0,0,598606,1,9,9,0
0,0,0,1538337766,967,0,0,598606,1,10,10,0
0,0,0,1538323260,60,0,0,598606,1,2,2,1
0,0,0,1538338249,85,0,0,598606,1,40,40,0
0,0,0,1538338226,626,0,0,598606,1,19,19,0

==> 2016_LUN1[0.001].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,10,4,0,0,2398787328,8192,3,3,1
0,0,0,878,10,0,0,2398787328,4096,61,61,0
0,0,0,22,4,0,0,2398787328,8192,5,5,1
0,0,0,882,16,0,0,2398787328,4096,91,91,0
0,0,0,872,11,0,0,2398787328,4096,29,29,0
0,0,0,880,5,0,0,2398787328,4096,57,57,0
0,0,0,785,34,0,0,2398787328,4096,5,5,0
0,0,0,665,2,0,0,2398787328,4096,16,16,1
0,0,0,879,5,0,0,2398787328,4096,77,77,0

==> 2016_LUN1[0.001,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,10,4,0,0,60241,1,3,3,1
0,0,0,683,9,0,0,60241,1,40,40,0
0,0,0,22,4,0,0,60241,1,5,5,1
0,0,0,672,11,0,0,60241,1,44,44,0
0,0,0,672,21,0,0,60241,1,18,18,0
0,0,0,684,15,0,0,60241,1,36,36,0
0,0,0,603,72,0,0,60241,1,3,3,0
0,0,0,665,2,0,0,60241,1,16,16,1
0,0,0,676,7,0,0,60241,1,44,44,0

==> 2016_LUN1[0.01].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1751,1751,0,0,23987871744,4096,2,2,1
0,0,0,10,4,0,0,23987871744,8192,3,3,1
0,0,0,4084,23,0,0,23987871744,4096,343,343,0
0,0,0,1752,1752,0,0,23987871744,32768,2,2,1
0,0,0,1751,1751,0,0,23987871744,4096,2,2,1
0,0,0,2431,2431,0,0,23987871744,4096,2,2,1
0,0,0,1751,1751,0,0,23987871744,4096,2,2,1
0,0,0,1751,1750,0,0,23987871744,4096,2,2,1
0,0,0,2111,2110,0,0,23987871744,4096,2,2,1

==> 2016_LUN1[0.01,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1751,1751,0,0,602419,1,2,2,1
0,0,0,10,4,0,0,602419,1,3,3,1
0,0,0,2667,4,0,0,602419,1,202,202,0
0,0,0,1752,1752,0,0,602419,1,2,2,1
0,0,0,1751,1751,0,0,602419,1,2,2,1
0,0,0,2431,2431,0,0,602419,1,2,2,1
0,0,0,1751,1751,0,0,602419,1,2,2,1
0,0,0,1751,1750,0,0,602419,1,2,2,1
0,0,0,2111,2110,0,0,602419,1,2,2,1

==> 2016_LUN1[0.1].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,4267,4267,0,0,239878717440,4096,2,2,1
0,0,0,4267,4267,0,0,239878717440,4096,2,2,1
0,0,0,4267,4267,0,0,239878717440,4096,2,2,1
0,0,0,4267,4267,0,0,239878717440,4096,2,2,1
0,0,0,4267,4267,0,0,239878717440,28672,2,2,1
0,0,0,4267,4267,0,0,239878717440,24576,2,2,1
0,0,0,1751,1751,0,0,239878717440,4096,2,2,1
0,0,0,4267,4267,0,0,239878717440,4096,2,2,1
0,0,0,7284,22,0,0,239878717440,8192,9,9,0

==> 2016_LUN1[0.1,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,1751,1751,0,0,6024191,1,2,2,1
0,0,0,4267,4267,0,0,6024191,1,2,2,1
0,0,0,7284,22,0,0,6024191,1,9,9,0

==> 2016_LUN1[0.2].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,43203,28802,0,0,479757434880,4096,3,3,0
0,0,0,43203,28802,0,0,479757434880,4096,3,3,0
0,0,0,43203,3203,0,0,479757434880,4096,4,4,0
0,0,0,43203,3203,0,0,479757434880,4096,4,4,0
0,0,0,43203,3203,0,0,479757434880,4096,4,4,0
0,0,0,43203,3203,0,0,479757434880,4096,4,4,0
0,0,0,43203,3203,0,0,479757434880,28672,4,4,0
0,0,0,43203,3203,0,0,479757434880,24576,4,4,0
0,0,0,43203,3205,0,0,479757434880,4096,4,4,0

==> 2016_LUN1[0.2,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,14401,14401,0,0,12048382,1,2,2,0
0,0,0,14401,14401,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,4267,4267,0,0,12048382,1,2,2,0
0,0,0,1751,1751,0,0,12048382,1,2,2,0

==> 2016_LUN1[0.4].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,360029,57606,0,0,959514869760,4096,13,13,0
0,0,0,176845,83207,0,0,959514869760,32768,3,3,0
0,0,0,360029,57606,0,0,959514869760,4096,13,13,0
0,0,0,360029,5933,0,0,959514869760,4096,25,25,0
0,0,0,360029,5933,0,0,959514869760,4096,25,25,0
0,0,0,360029,5933,0,0,959514869760,4096,25,25,0
0,0,0,360029,5933,0,0,959514869760,4096,25,25,0
0,0,0,360029,5933,0,0,959514869760,28672,25,25,0
0,0,0,360029,5933,0,0,959514869760,24576,25,25,0

==> 2016_LUN1[0.4,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,302423,14402,0,0,24096764,1,12,12,0
0,0,0,176845,83207,0,0,24096764,1,3,3,0
0,0,0,302423,14402,0,0,24096764,1,12,12,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0
0,0,0,302423,2980,0,0,24096764,1,22,22,0

==> 7[0.001].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577808089,0,0,0,137870192,4096,107,107,0
0,0,0,1577808091,0,0,0,137870192,4096,232,232,0
0,0,0,1577808017,1,0,0,137870192,8192,11,11,1
0,0,0,1577808089,0,0,0,137870192,4096,82,82,0
0,0,0,1577808090,0,0,0,137870192,4096,216,216,0
0,0,0,1577808047,0,0,0,137870192,8192,19,19,1
0,0,0,1577808090,0,0,0,137870192,4096,62,62,0
0,0,0,1577808094,0,0,0,137870192,4096,196,196,0
0,0,0,1577808002,1,0,0,137870192,8192,4,4,1

==> 7[0.001,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577808017,0,0,0,4808,1,29,29,0
0,0,0,1577808021,0,0,0,4808,1,52,52,0
0,0,0,1577808017,1,0,0,4808,1,11,11,1
0,0,0,1577808017,0,0,0,4808,1,22,22,0
0,0,0,1577808021,0,0,0,4808,1,54,54,0
0,0,0,1577808020,0,0,0,4808,1,9,9,0
0,0,0,1577808020,0,0,0,4808,1,18,18,0
0,0,0,1577808020,0,0,0,4808,1,46,46,0
0,0,0,1577808002,1,0,0,4808,1,4,4,1

==> 7[0.01].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577811395,0,0,0,1378701824,4096,2933,2933,0
0,0,0,1577811396,0,0,0,1378701824,4096,7751,7751,0
0,0,0,1577808017,1,0,0,1378701824,8192,11,11,1
0,0,0,1577811391,0,0,0,1378701824,4096,2805,2805,0
0,0,0,1577811396,0,0,0,1378701824,4096,7132,7132,0
0,0,0,1577808047,0,0,0,1378701824,8192,19,19,1
0,0,0,1577811396,0,0,0,1378701824,4096,2343,2343,0
0,0,0,1577811396,0,0,0,1378701824,4096,7075,7075,0
0,0,0,1577808002,1,0,0,1378701824,8192,4,4,1

==> 7[0.01,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577808619,0,0,0,48085,1,632,632,0
0,0,0,1577808619,0,0,0,48085,1,1629,1629,0
0,0,0,1577808017,1,0,0,48085,1,11,11,1
0,0,0,1577808617,0,0,0,48085,1,606,606,0
0,0,0,1577808620,0,0,0,48085,1,1404,1404,0
0,0,0,1577808047,0,0,0,48085,1,19,19,1
0,0,0,1577808616,0,0,0,48085,1,500,500,0
0,0,0,1577808619,0,0,0,48085,1,1478,1478,0
0,0,0,1577808002,1,0,0,48085,1,4,4,1

==> 7[0.1].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577882015,0,0,0,13787018240,4096,67464,67464,0
0,0,0,1577873441,6813,0,0,13787018240,26112,6,6,1
0,0,0,1577850670,6354,0,0,13787018240,1536,5,5,0
0,0,0,1577882016,0,0,0,13787018240,4096,238294,238294,0
0,0,0,1577808017,1,0,0,13787018240,8192,11,11,1
0,0,0,1577872433,4522,0,0,13787018240,1536,5,5,1
0,0,0,1577854002,46002,0,0,13787018240,1536,2,2,1
0,0,0,1577882015,0,0,0,13787018240,4096,71041,71041,0
0,0,0,1577869144,6655,0,0,13787018240,17408,6,6,1

==> 7[0.1,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577846297,0,0,0,480854,1,13799,13799,0
0,0,0,1577835904,27904,0,0,480854,1,2,2,1
0,0,0,1577844316,29430,0,0,480854,1,4,4,0
0,0,0,1577846297,0,0,0,480854,1,44888,44888,0
0,0,0,1577808017,1,0,0,480854,1,11,11,1
0,0,0,1577844316,36316,0,0,480854,1,2,2,0
0,0,0,1577846292,0,0,0,480854,1,14855,14855,0
0,0,0,1577835908,27908,0,0,480854,1,2,2,0
0,0,0,1577846298,0,0,0,480854,1,46770,46770,0

==> 7[0.2].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577954870,0,0,0,27574036480,4096,114577,114577,0
0,0,0,1577949634,3868,0,0,27574036480,1536,13,13,0
0,0,0,1577949634,50066,0,0,27574036480,17408,9,9,0
0,0,0,1577954873,0,0,0,27574036480,4096,435577,435577,0
0,0,0,1577951349,0,0,0,27574036480,8192,32,32,1
0,0,0,1577872433,4522,0,0,27574036480,1536,5,5,0
0,0,0,1577952187,1253,0,0,27574036480,1536,6,6,0
0,0,0,1577954873,0,0,0,27574036480,4096,120444,120444,0
0,0,0,1577926147,0,0,0,27574036480,8192,4,4,1

==> 7[0.2,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1577868809,0,0,0,961708,1,45206,45206,0
0,0,0,1577866628,8537,0,0,961708,1,5,5,0
0,0,0,1577850670,6354,0,0,961708,1,5,5,1
0,0,0,1577868812,0,0,0,961708,1,165364,165364,0
0,0,0,1577808017,1,0,0,961708,1,11,11,1
0,0,0,1577867911,20682,0,0,961708,1,4,4,0
0,0,0,1577854002,46002,0,0,961708,1,2,2,1
0,0,0,1577868811,0,0,0,961708,1,47566,47566,0
0,0,0,1577862489,4397,0,0,961708,1,5,5,0

==> 7[0.4].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1578078716,0,0,0,55148072960,4096,208120,208120,0
0,0,0,1578056102,10624,0,0,55148072960,1536,21,21,0
0,0,0,1578061875,19806,0,0,55148072960,1536,20,20,0
0,0,0,1578078726,0,0,0,55148072960,4096,826090,826090,0
0,0,0,1577951349,0,0,0,55148072960,8192,32,32,1
0,0,0,1578058017,1913,0,0,55148072960,1536,10,10,0
0,0,0,1578026022,11794,0,0,55148072960,1536,9,9,0
0,0,0,1578078731,4,0,0,55148072960,4096,220683,220683,0
0,0,0,1577926147,0,0,0,55148072960,8192,4,4,0

==> 7[0.4,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1578033643,0,0,0,1923416,1,168982,168982,0
0,0,0,1578022500,51953,0,0,1923416,1,18,18,0
0,0,0,1578031358,6560,0,0,1923416,1,15,15,0
0,0,0,1578033644,0,0,0,1923416,1,664051,664051,0
0,0,0,1577951349,0,0,0,1923416,1,32,32,1
0,0,0,1578024798,37079,0,0,1923416,1,8,8,0
0,0,0,1578026022,11794,0,0,1923416,1,9,9,1
0,0,0,1578033644,0,0,0,1923416,1,177921,177921,0
0,0,0,1577926147,0,0,0,1923416,1,4,4,1

==> block_traces_5[0.001].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,32872632320,5231,6,6,1
0,0,0,1702857480,2,0,0,32872632320,2854912,2,2,1
0,0,0,1702857498,7,0,0,32872632320,1859584,4,4,1
0,0,0,1702857578,0,0,0,32872632320,139389,27,27,0
0,0,0,1702857479,0,0,0,32872632320,2142208,2,2,1
0,0,0,1702857489,2,0,0,32872632320,684032,4,4,1
0,0,0,1702857553,1,0,0,32872632320,8388608,3,3,1
0,0,0,1702857482,0,0,0,32872632320,2113536,5,5,1
0,0,0,1702857482,0,0,0,32872632320,999424,2,2,1

==> block_traces_5[0.001,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,7110,1,6,6,1
0,0,0,1702857480,2,0,0,7110,1,2,2,1
0,0,0,1702857498,7,0,0,7110,1,4,4,1
0,0,0,1702857578,0,0,0,7110,1,27,27,0
0,0,0,1702857479,0,0,0,7110,1,2,2,1
0,0,0,1702857489,2,0,0,7110,1,4,4,1
0,0,0,1702857553,1,0,0,7110,1,3,3,1
0,0,0,1702857482,0,0,0,7110,1,5,5,1
0,0,0,1702857482,0,0,0,7110,1,2,2,1

==> block_traces_5[0.01].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,328726315008,5231,6,6,1
0,0,0,1702857480,2,0,0,328726315008,2854912,2,2,1
0,0,0,1702857498,7,0,0,328726315008,1859584,4,4,1
0,0,0,1702858178,0,0,0,328726315008,307200,144,144,1
0,0,0,1702857479,0,0,0,328726315008,2142208,2,2,1
0,0,0,1702857951,1,0,0,328726315008,791196,4,4,1
0,0,0,1702857489,2,0,0,328726315008,684032,4,4,1
0,0,0,1702857553,1,0,0,328726315008,8388608,3,3,1
0,0,0,1702857482,0,0,0,328726315008,2113536,5,5,1

==> block_traces_5[0.01,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,71104,1,6,6,1
0,0,0,1702857480,2,0,0,71104,1,2,2,1
0,0,0,1702857498,7,0,0,71104,1,4,4,1
0,0,0,1702858178,0,0,0,71104,1,144,144,1
0,0,0,1702857479,0,0,0,71104,1,2,2,1
0,0,0,1702857951,1,0,0,71104,1,4,4,1
0,0,0,1702857489,2,0,0,71104,1,4,4,1
0,0,0,1702857553,1,0,0,71104,1,3,3,1
0,0,0,1702857482,0,0,0,71104,1,5,5,1

==> block_traces_5[0.1].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,3287263215616,5231,6,6,1
0,0,0,1702857480,2,0,0,3287263215616,2854912,2,2,1
0,0,0,1702857498,7,0,0,3287263215616,1859584,4,4,1
0,0,0,1702862307,0,0,0,3287263215616,237568,305,305,1
0,0,0,1702857479,0,0,0,3287263215616,2142208,2,2,1
0,0,0,1702857951,1,0,0,3287263215616,791196,4,4,1
0,0,0,1702857489,2,0,0,3287263215616,684032,4,4,1
0,0,0,1702857553,1,0,0,3287263215616,8388608,3,3,1
0,0,0,1702857482,0,0,0,3287263215616,2113536,5,5,1

==> block_traces_5[0.1,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,711041,1,6,6,1
0,0,0,1702857480,2,0,0,711041,1,2,2,1
0,0,0,1702857498,7,0,0,711041,1,4,4,1
0,0,0,1702862307,0,0,0,711041,1,305,305,1
0,0,0,1702857479,0,0,0,711041,1,2,2,1
0,0,0,1702857951,1,0,0,711041,1,4,4,1
0,0,0,1702857489,2,0,0,711041,1,4,4,1
0,0,0,1702857553,1,0,0,711041,1,3,3,1
0,0,0,1702857482,0,0,0,711041,1,5,5,1

==> block_traces_5[0.2].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,6574526431232,5231,6,6,1
0,0,0,1702857480,2,0,0,6574526431232,2854912,2,2,1
0,0,0,1702857498,7,0,0,6574526431232,1859584,4,4,1
0,0,0,1702862307,0,0,0,6574526431232,237568,305,305,1
0,0,0,1702857479,0,0,0,6574526431232,2142208,2,2,1
0,0,0,1702857951,1,0,0,6574526431232,791196,4,4,1
0,0,0,1702857489,2,0,0,6574526431232,684032,4,4,1
0,0,0,1702857553,1,0,0,6574526431232,8388608,3,3,1
0,0,0,1702857482,0,0,0,6574526431232,2113536,5,5,1

==> block_traces_5[0.2,ignore_obj_size].csv <==
last_access_rtime, last_access_vtime, create_rtime, clock_time, clock_time_between, compulsory_miss, first_seen, cache_size, obj_size, clock_freq, lifetime_freq, wasted
0,0,0,1702857480,2,0,0,1422082,1,6,6,1
0,0,0,1702857480,2,0,0,1422082,1,2,2,1
0,0,0,1702857498,7,0,0,1422082,1,4,4,1
0,0,0,1702862307,0,0,0,1422082,1,305,305,1
0,0,0,1702857479,0,0,0,1422082,1,2,2,1
0,0,0,1702857951,1,0,0,1422082,1,4,4,1
0,0,0,1702857489,2,0,0,1422082,1,4,4,1
0,0,0,1702857553,1,0,0,1422082,1,3,3,1
0,0,0,1702857482,0,0,0,1422082,1,5,5,1

==> block_traces_5[0.4].csv <==
