trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"1351.oracleGeneral.zst",191,0.98325,195824302,2710642
"1351.oracleGeneral.zst",191,0.983141,195824302,392810
"1351.oracleGeneral.zst",191,0.983723,195824302,257087
"1351.oracleGeneral.zst",191,0.983833,195824302,211139
"1351.oracleGeneral.zst",191,0.983919,195824302,187614
"1351.oracleGeneral.zst",191,0.983977,195824302,171183
"1351.oracleGeneral.zst",191,0.984019,195824302,159337
"1351.oracleGeneral.zst",191,0.984051,195824302,150485
"1351.oracleGeneral.zst",191,0.984076,195824302,143605
"1351.oracleGeneral.zst",191,0.984098,195824302,137914
"1351.oracleGeneral.zst",191,0.984114,195824302,133303
"1351.oracleGeneral.zst",191,0.984128,195824302,129492
"1351.oracleGeneral.zst",191,0.98414,195824302,126312
"1351.oracleGeneral.zst",191,0.98415,195824302,123642
"1351.oracleGeneral.zst",191,0.984158,195824302,121348
"1351.oracleGeneral.zst",191,0.984166,195824302,119397
"1351.oracleGeneral.zst",191,0.984172,195824302,117753
"1351.oracleGeneral.zst",191,0.984177,195824302,116318
"1351.oracleGeneral.zst",191,0.984181,195824302,115056
"1351.oracleGeneral.zst",191,0.984185,195824302,113923
