trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"1351.oracleGeneral.zst",0,0.774645,195824302,23088035
"1351.oracleGeneral.zst",0,0.76919,195824302,8833517
"1351.oracleGeneral.zst",0,0.781856,195824302,5216655
"1351.oracleGeneral.zst",0,0.784656,195824302,4211391
"1351.oracleGeneral.zst",0,0.786125,195824302,3787683
"1351.oracleGeneral.zst",0,0.786924,195824302,3543229
"1351.oracleGeneral.zst",0,0.78754,195824302,3367497
"1351.oracleGeneral.zst",0,0.788001,195824302,3231319
"1351.oracleGeneral.zst",0,0.788424,195824302,3116002
"1351.oracleGeneral.zst",0,0.78877,195824302,3017781
"1351.oracleGeneral.zst",0,0.789073,195824302,2931629
"1351.oracleGeneral.zst",0,0.78935,195824302,2855552
"1351.oracleGeneral.zst",0,0.789584,195824302,2790228
"1351.oracleGeneral.zst",0,0.789808,195824302,2729744
"1351.oracleGeneral.zst",0,0.790017,195824302,2673193
"1351.oracleGeneral.zst",0,0.790216,195824302,2621352
"1351.oracleGeneral.zst",0,0.79039,195824302,2573302
"1351.oracleGeneral.zst",0,0.790554,195824302,2529535
"1351.oracleGeneral.zst",0,0.790692,195824302,2488736
"1351.oracleGeneral.zst",0,0.79084,195824302,2448510
