trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"2016_LUN1.oracleGeneral.zst",512,0.825933,492030661,36402647
"2016_LUN1.oracleGeneral.zst",512,0.825706,492030661,12620149
"2016_LUN1.oracleGeneral.zst",512,0.829471,492030661,10252317
"2016_LUN1.oracleGeneral.zst",512,0.830941,492030661,9212132
"2016_LUN1.oracleGeneral.zst",512,0.83196,492030661,8553883
"2016_LUN1.oracleGeneral.zst",512,0.832701,492030661,8053126
"2016_LUN1.oracleGeneral.zst",512,0.833306,492030661,7656451
"2016_LUN1.oracleGeneral.zst",512,0.833814,492030661,7323123
"2016_LUN1.oracleGeneral.zst",512,0.834248,492030661,7042491
"2016_LUN1.oracleGeneral.zst",512,0.834634,492030661,6794294
"2016_LUN1.oracleGeneral.zst",512,0.834978,492030661,6575517
"2016_LUN1.oracleGeneral.zst",512,0.835278,492030661,6380756
"2016_LUN1.oracleGeneral.zst",512,0.835561,492030661,6200491
"2016_LUN1.oracleGeneral.zst",512,0.835818,492030661,6036486
"2016_LUN1.oracleGeneral.zst",512,0.836061,492030661,5883415
"2016_LUN1.oracleGeneral.zst",512,0.836289,492030661,5739633
"2016_LUN1.oracleGeneral.zst",512,0.8365,492030661,5607681
"2016_LUN1.oracleGeneral.zst",512,0.836692,492030661,5484969
"2016_LUN1.oracleGeneral.zst",512,0.836881,492030661,5366709
"2016_LUN1.oracleGeneral.zst",512,0.83706,492030661,5254784
