trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"2016_LUN1.oracleGeneral.zst",512,0.825933,492030661,36402647
"2016_LUN1.oracleGeneral.zst",512,0.825706,492030661,12620149
"2016_LUN1.oracleGeneral.zst",512,0.829471,492030661,10252317
"2016_LUN1.oracleGeneral.zst",512,0.830941,492030661,9212132
"2016_LUN1.oracleGeneral.zst",512,0.83196,492030661,8553883
"2016_LUN1.oracleGeneral.zst",512,0.832701,492030661,8053126
"2016_LUN1.oracleGeneral.zst",512,0.833306,492030661,7656451
"2016_LUN1.oracleGeneral.zst",512,0.833814,492030661,7323123
"2016_LUN1.oracleGeneral.zst",512,0.834248,492030661,7042491
"2016_LUN1.oracleGeneral.zst",512,0.834634,492030661,6794294
