trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"7.oracleGeneral.zst",0,131,0.311793,265694431,23868697
"7.oracleGeneral.zst",0,131,0.311434,265694431,8581328
"7.oracleGeneral.zst",0,131,0.311438,265694431,8300270
"7.oracleGeneral.zst",0,131,0.31144,265694431,8274348
"7.oracleGeneral.zst",0,131,0.31144,265694431,8270699
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269927
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269745
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269710
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269706
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
"7.oracleGeneral.zst",0,131,0.31144,265694431,8269705
