trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"7.oracleGeneral.zst",128,0.0180999,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
"7.oracleGeneral.zst",128,0,265694431,0
