trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"7.oracleGeneral.zst",128,0.312364,265694431,24075064
"7.oracleGeneral.zst",128,0.311995,265694431,8740069
"7.oracleGeneral.zst",128,0.315365,265694431,7555178
"7.oracleGeneral.zst",128,0.317032,265694431,6905500
"7.oracleGeneral.zst",128,0.318416,265694431,6440721
"7.oracleGeneral.zst",128,0.319469,265694431,6081200
"7.oracleGeneral.zst",128,0.320337,265694431,5787859
"7.oracleGeneral.zst",128,0.321078,265694431,5540879
"7.oracleGeneral.zst",128,0.32172,265694431,5328561
"7.oracleGeneral.zst",128,0.32228,265694431,5143728
"7.oracleGeneral.zst",128,0.322777,265694431,4980297
"7.oracleGeneral.zst",128,0.323221,265694431,4834394
"7.oracleGeneral.zst",128,0.323623,265694431,4703818
"7.oracleGeneral.zst",128,0.323988,265694431,4584519
"7.oracleGeneral.zst",128,0.324318,265694431,4477407
"7.oracleGeneral.zst",128,0.324624,265694431,4378507
"7.oracleGeneral.zst",128,0.324903,265694431,4288397
"7.oracleGeneral.zst",128,0.325162,265694431,4204303
"7.oracleGeneral.zst",128,0.325403,265694431,4126784
"7.oracleGeneral.zst",128,0.325628,265694431,4054757
