trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488546,14556172,2001105
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488486,14556172,1540215
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488458,14556172,748321
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748190
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488464,14556172,748094
"block_traces_5.oracleGeneral.bin.zst",0,12539914,0.488484,14556172,748099
