trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"block_traces_5.oracleGeneral.bin.zst",1024,0.608748,14556172,2881691
"block_traces_5.oracleGeneral.bin.zst",1024,0.60199,14556172,301746
"block_traces_5.oracleGeneral.bin.zst",1024,0.602887,14556172,218115
"block_traces_5.oracleGeneral.bin.zst",1024,0.603156,14556172,208339
"block_traces_5.oracleGeneral.bin.zst",1024,0.603213,14556172,206907
"block_traces_5.oracleGeneral.bin.zst",1024,0.60323,14556172,206547
"block_traces_5.oracleGeneral.bin.zst",1024,0.603239,14556172,206386
"block_traces_5.oracleGeneral.bin.zst",1024,0.603244,14556172,206297
"block_traces_5.oracleGeneral.bin.zst",1024,0.603247,14556172,206239
"block_traces_5.oracleGeneral.bin.zst",1024,0.60325,14556172,206190
"block_traces_5.oracleGeneral.bin.zst",1024,0.603252,14556172,206154
"block_traces_5.oracleGeneral.bin.zst",1024,0.603253,14556172,206129
"block_traces_5.oracleGeneral.bin.zst",1024,0.603255,14556172,206099
"block_traces_5.oracleGeneral.bin.zst",1024,0.603256,14556172,206077
"block_traces_5.oracleGeneral.bin.zst",1024,0.603257,14556172,206060
"block_traces_5.oracleGeneral.bin.zst",1024,0.603258,14556172,206042
"block_traces_5.oracleGeneral.bin.zst",1024,0.603259,14556172,206027
"block_traces_5.oracleGeneral.bin.zst",1024,0.60326,14556172,206009
"block_traces_5.oracleGeneral.bin.zst",1024,0.60326,14556172,205998
"block_traces_5.oracleGeneral.bin.zst",1024,0.603261,14556172,205985
