trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"block_traces_5.oracleGeneral.bin.zst",2048,0.585911,14556172,2892780
"block_traces_5.oracleGeneral.bin.zst",2048,0.582295,14556172,203322
"block_traces_5.oracleGeneral.bin.zst",2048,0.583157,14556172,160448
"block_traces_5.oracleGeneral.bin.zst",2048,0.583435,14556172,153081
"block_traces_5.oracleGeneral.bin.zst",2048,0.583541,14556172,151068
"block_traces_5.oracleGeneral.bin.zst",2048,0.583595,14556172,150084
"block_traces_5.oracleGeneral.bin.zst",2048,0.583627,14556172,149503
"block_traces_5.oracleGeneral.bin.zst",2048,0.58365,14556172,149114
"block_traces_5.oracleGeneral.bin.zst",2048,0.583664,14556172,148829
"block_traces_5.oracleGeneral.bin.zst",2048,0.583675,14556172,148646
