trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.788385,113872,6739
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.779841,113872,1854
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780903,113872,582
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780842,113872,447
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,414
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,411
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,411
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,411
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,411
"../trace/cloudPhysicsIO.oracleGeneral.bin",256,0.780877,113872,413
