trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"cluster50.oracleGeneral.zst",0,0.565087,139655585,49958216
"cluster50.oracleGeneral.zst",0,0.553298,139655585,8047807
"cluster50.oracleGeneral.zst",0,0.565947,139655585,5334432
"cluster50.oracleGeneral.zst",0,0.571854,139655585,4190441
"cluster50.oracleGeneral.zst",0,0.57565,139655585,3533433
"cluster50.oracleGeneral.zst",0,0.578192,139655585,3086932
"cluster50.oracleGeneral.zst",0,0.580083,139655585,2758244
"cluster50.oracleGeneral.zst",0,0.581555,139655585,2503715
"cluster50.oracleGeneral.zst",0,0.582733,139655585,2300193
"cluster50.oracleGeneral.zst",0,0.583695,139655585,2134066
"cluster50.oracleGeneral.zst",0,0.584497,139655585,1995522
"cluster50.oracleGeneral.zst",0,0.585175,139655585,1878506
"cluster50.oracleGeneral.zst",0,0.585757,139655585,1778410
"cluster50.oracleGeneral.zst",0,0.586257,139655585,1692020
"cluster50.oracleGeneral.zst",0,0.586693,139655585,1616605
"cluster50.oracleGeneral.zst",0,0.587077,139655585,1550236
"cluster50.oracleGeneral.zst",0,0.587418,139655585,1491418
"cluster50.oracleGeneral.zst",0,0.587722,139655585,1439171
"cluster50.oracleGeneral.zst",0,0.587994,139655585,1392324
"cluster50.oracleGeneral.zst",0,0.588237,139655585,1350374
