trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"cluster50.oracleGeneral.zst",413,0.577771,139655585,49659077
"cluster50.oracleGeneral.zst",413,0.572353,139655585,9449335
"cluster50.oracleGeneral.zst",413,0.589409,139655585,6246780
"cluster50.oracleGeneral.zst",413,0.596663,139655585,4845281
"cluster50.oracleGeneral.zst",413,0.60147,139655585,4010830
"cluster50.oracleGeneral.zst",413,0.604637,139655585,3440056
"cluster50.oracleGeneral.zst",413,0.606993,139655585,3021963
"cluster50.oracleGeneral.zst",413,0.608773,139655585,2703622
"cluster50.oracleGeneral.zst",413,0.610188,139655585,2452333
"cluster50.oracleGeneral.zst",413,0.611323,139655585,2249535
"cluster50.oracleGeneral.zst",413,0.61226,139655585,2082569
"cluster50.oracleGeneral.zst",413,0.613038,139655585,1943255
"cluster50.oracleGeneral.zst",413,0.613697,139655585,1825846
"cluster50.oracleGeneral.zst",413,0.614257,139655585,1725530
"cluster50.oracleGeneral.zst",413,0.614738,139655585,1639210
"cluster50.oracleGeneral.zst",413,0.615157,139655585,1563970
"cluster50.oracleGeneral.zst",413,0.615526,139655585,1498373
"cluster50.oracleGeneral.zst",413,0.615846,139655585,1440816
"cluster50.oracleGeneral.zst",413,0.616129,139655585,1390034
"cluster50.oracleGeneral.zst",413,0.61638,139655585,1345080
