trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"cluster50.oracleGeneral.zst",8267,0.12932,139655585,26127970
"cluster50.oracleGeneral.zst",8267,0.122522,139655585,6786601
"cluster50.oracleGeneral.zst",8267,0.124198,139655585,5916489
"cluster50.oracleGeneral.zst",8267,0.125786,139655585,5605589
"cluster50.oracleGeneral.zst",8267,0.126476,139655585,5463620
"cluster50.oracleGeneral.zst",8267,0.126969,139655585,5366466
"cluster50.oracleGeneral.zst",8267,0.127334,139655585,5294530
"cluster50.oracleGeneral.zst",8267,0.127619,139655585,5238527
"cluster50.oracleGeneral.zst",8267,0.127853,139655585,5193437
"cluster50.oracleGeneral.zst",8267,0.128043,139655585,5156859
"cluster50.oracleGeneral.zst",8267,0.128204,139655585,5126083
"cluster50.oracleGeneral.zst",8267,0.12834,139655585,5100292
"cluster50.oracleGeneral.zst",8267,0.128455,139655585,5078490
"cluster50.oracleGeneral.zst",8267,0.128556,139655585,5059509
"cluster50.oracleGeneral.zst",8267,0.128643,139655585,5043424
"cluster50.oracleGeneral.zst",8267,0.128716,139655585,5029711
"cluster50.oracleGeneral.zst",8267,0.128783,139655585,5017440
"cluster50.oracleGeneral.zst",8267,0.12884,139655585,5007002
"cluster50.oracleGeneral.zst",8267,0.128889,139655585,4997998
"cluster50.oracleGeneral.zst",8267,0.128932,139655585,4990049
