trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"cluster50.oracleGeneral.zst",512,0.548959,139655585,49979108
"cluster50.oracleGeneral.zst",512,0.545134,139655585,10075207
"cluster50.oracleGeneral.zst",512,0.56002,139655585,7297581
"cluster50.oracleGeneral.zst",512,0.566681,139655585,6035876
"cluster50.oracleGeneral.zst",512,0.571301,139655585,5250619
"cluster50.oracleGeneral.zst",512,0.574525,139655585,4686549
"cluster50.oracleGeneral.zst",512,0.577013,139655585,4255128
"cluster50.oracleGeneral.zst",512,0.578993,139655585,3911135
"cluster50.oracleGeneral.zst",512,0.580625,139655585,3629175
"cluster50.oracleGeneral.zst",512,0.581982,139655585,3393620
"cluster50.oracleGeneral.zst",512,0.583134,139655585,3193726
"cluster50.oracleGeneral.zst",512,0.584126,139655585,3021701
"cluster50.oracleGeneral.zst",512,0.584984,139655585,2872971
"cluster50.oracleGeneral.zst",512,0.585734,139655585,2742787
"cluster50.oracleGeneral.zst",512,0.586391,139655585,2628494
"cluster50.oracleGeneral.zst",512,0.586973,139655585,2527059
"cluster50.oracleGeneral.zst",512,0.587497,139655585,2436134
"cluster50.oracleGeneral.zst",512,0.587963,139655585,2355027
"cluster50.oracleGeneral.zst",512,0.588381,139655585,2281975
"cluster50.oracleGeneral.zst",512,0.588758,139655585,2216265
