trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"../../../data/cluster50.oracleGeneral.zst",128,0.707648,139655585,39246683
"../../../data/cluster50.oracleGeneral.zst",128,0.706574,139655585,1408320
"../../../data/cluster50.oracleGeneral.zst",128,0.714122,139655585,217393
"../../../data/cluster50.oracleGeneral.zst",128,0.714761,139655585,107964
"../../../data/cluster50.oracleGeneral.zst",128,0.714908,139655585,82807
"../../../data/cluster50.oracleGeneral.zst",128,0.714967,139655585,71792
"../../../data/cluster50.oracleGeneral.zst",128,0.715003,139655585,65370
"../../../data/cluster50.oracleGeneral.zst",128,0.715027,139655585,61031
"../../../data/cluster50.oracleGeneral.zst",128,0.715044,139655585,57950
"../../../data/cluster50.oracleGeneral.zst",128,0.715057,139655585,55699
