trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"cluster53.oracleGeneral.zst",0,103,0.324388,246508262,61094288
"cluster53.oracleGeneral.zst",0,103,0.300916,246508262,29410012
"cluster53.oracleGeneral.zst",0,103,0.299965,246508262,27171280
"cluster53.oracleGeneral.zst",0,103,0.299802,246508262,26912597
"cluster53.oracleGeneral.zst",0,103,0.299735,246508262,26855067
"cluster53.oracleGeneral.zst",0,103,0.299709,246508262,26832630
"cluster53.oracleGeneral.zst",0,103,0.299687,246508262,26819165
"cluster53.oracleGeneral.zst",0,103,0.299663,246508262,26809978
"cluster53.oracleGeneral.zst",0,103,0.299655,246508262,26803285
"cluster53.oracleGeneral.zst",0,103,0.299647,246508262,26798740
"cluster53.oracleGeneral.zst",0,103,0.299644,246508262,26796424
"cluster53.oracleGeneral.zst",0,103,0.299641,246508262,26795766
"cluster53.oracleGeneral.zst",0,103,0.299636,246508262,26793756
"cluster53.oracleGeneral.zst",0,103,0.299636,246508262,26792625
"cluster53.oracleGeneral.zst",0,103,0.299634,246508262,26791598
"cluster53.oracleGeneral.zst",0,103,0.299627,246508262,26790079
"cluster53.oracleGeneral.zst",0,103,0.299625,246508262,26788973
"cluster53.oracleGeneral.zst",0,103,0.299625,246508262,26788356
"cluster53.oracleGeneral.zst",0,103,0.299624,246508262,26787939
"cluster53.oracleGeneral.zst",0,103,0.299624,246508262,26787737
