trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.937723,442393092,21117805
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.936721,442393092,1100888
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.937964,442393092,170894
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938055,442393092,66374
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938085,442393092,35628
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938102,442393092,25251
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938112,442393092,20068
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938118,442393092,16468
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938123,442393092,13955
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938127,442393092,12039
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938129,442393092,10599
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938131,442393092,9421
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938133,442393092,8531
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938135,442393092,7817
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938136,442393092,7227
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938136,442393092,6754
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938137,442393092,6357
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938138,442393092,6027
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938138,442393092,5756
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",58,0.938139,442393092,5548
