trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0712162,442393092,22299069
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0676775,442393092,12973687
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0673157,442393092,11121971
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672785,442393092,10953183
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672877,442393092,10920205
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672833,442393092,10902268
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672961,442393092,10924709
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672843,442393092,10906654
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672965,442393092,10901740
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672848,442393092,10932689
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672969,442393092,10902226
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672852,442393092,10901342
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672974,442393092,10935695
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672855,442393092,10896164
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672975,442393092,10907130
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672856,442393092,10933081
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672975,442393092,10894875
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672856,442393092,10910682
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672976,442393092,10918483
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1,2981836,0.0672856,442393092,10896915
