trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.573244,442393092,127399940
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.533462,442393092,60119630
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.552035,442393092,38150635
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.564782,442393092,26992478
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.573649,442393092,20206665
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.579621,442393092,15750903
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.583829,442393092,12879386
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.587104,442393092,10695438
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.589347,442393092,9135309
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.591501,442393092,7875147
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.592751,442393092,6916308
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.594019,442393092,6122779
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.595182,442393092,5482834
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.595868,442393092,4982188
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.596472,442393092,4564361
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.597031,442393092,4210139
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.597553,442393092,3862323
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.598,442393092,3556050
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.598316,442393092,3376397
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",512,0.598702,442393092,3163473
