trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.329634,442393092,135896867
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.30633,442393092,58865004
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.319785,442393092,45802692
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.329553,442393092,38525642
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.337344,442393092,33500600
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.343303,442393092,29600934
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.348024,442393092,26533482
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.351971,442393092,24016597
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.355289,442393092,21865391
"fiu_cheetah.cs.fiu.edu-110108-113008.oracleGeneral.zst",1024,0.358419,442393092,19989879
