trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.140241,335173084,31830471
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.136015,335173084,11462716
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.139344,335173084,9276932
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.140901,335173084,8481192
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.141924,335173084,8027135
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.142619,335173084,7718621
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.14314,335173084,7487999
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.143562,335173084,7308099
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.143909,335173084,7158635
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.144208,335173084,7028254
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.144462,335173084,6923075
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.144691,335173084,6823012
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.144887,335173084,6741661
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145069,335173084,6662543
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145234,335173084,6592200
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145384,335173084,6531668
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145516,335173084,6472198
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145645,335173084,6417420
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145763,335173084,6367594
"meta_kvcache_traces_1.oracleGeneral.bin.zst",256,0.145874,335173084,6323089
