trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_rnha.oracleGeneral.zst",729265,0.670671,96680668,9835651
"meta_rnha.oracleGeneral.zst",729265,0.663879,96680668,1060517
"meta_rnha.oracleGeneral.zst",729265,0.665694,96680668,393438
"meta_rnha.oracleGeneral.zst",729265,0.666442,96680668,291458
"meta_rnha.oracleGeneral.zst",729265,0.666752,96680668,251916
"meta_rnha.oracleGeneral.zst",729265,0.666925,96680668,230001
"meta_rnha.oracleGeneral.zst",729265,0.667043,96680668,215638
"meta_rnha.oracleGeneral.zst",729265,0.667128,96680668,205361
"meta_rnha.oracleGeneral.zst",729265,0.667198,96680668,197029
"meta_rnha.oracleGeneral.zst",729265,0.667253,96680668,190570
"meta_rnha.oracleGeneral.zst",729265,0.667298,96680668,185232
"meta_rnha.oracleGeneral.zst",729265,0.667337,96680668,180676
"meta_rnha.oracleGeneral.zst",729265,0.66737,96680668,176798
"meta_rnha.oracleGeneral.zst",729265,0.667399,96680668,173366
"meta_rnha.oracleGeneral.zst",729265,0.667426,96680668,170298
"meta_rnha.oracleGeneral.zst",729265,0.667449,96680668,167623
"meta_rnha.oracleGeneral.zst",729265,0.667469,96680668,165217
"meta_rnha.oracleGeneral.zst",729265,0.667488,96680668,163022
"meta_rnha.oracleGeneral.zst",729265,0.667506,96680668,160884
"meta_rnha.oracleGeneral.zst",729265,0.667522,96680668,159048
