trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_rnha.oracleGeneral.zst",0,0.597984,96680668,12174665
"meta_rnha.oracleGeneral.zst",0,0.595,96680668,1946208
"meta_rnha.oracleGeneral.zst",0,0.599434,96680668,1191006
"meta_rnha.oracleGeneral.zst",0,0.600587,96680668,1017069
"meta_rnha.oracleGeneral.zst",0,0.601226,96680668,938912
"meta_rnha.oracleGeneral.zst",0,0.601591,96680668,893021
"meta_rnha.oracleGeneral.zst",0,0.601839,96680668,862675
"meta_rnha.oracleGeneral.zst",0,0.602017,96680668,840662
"meta_rnha.oracleGeneral.zst",0,0.602157,96680668,823772
"meta_rnha.oracleGeneral.zst",0,0.602269,96680668,810130
"meta_rnha.oracleGeneral.zst",0,0.60236,96680668,799168
"meta_rnha.oracleGeneral.zst",0,0.602437,96680668,789734
"meta_rnha.oracleGeneral.zst",0,0.602504,96680668,781818
"meta_rnha.oracleGeneral.zst",0,0.602561,96680668,774787
"meta_rnha.oracleGeneral.zst",0,0.602612,96680668,768803
"meta_rnha.oracleGeneral.zst",0,0.602657,96680668,763310
"meta_rnha.oracleGeneral.zst",0,0.602698,96680668,758471
"meta_rnha.oracleGeneral.zst",0,0.602735,96680668,753931
"meta_rnha.oracleGeneral.zst",0,0.602769,96680668,749879
"meta_rnha.oracleGeneral.zst",0,0.6028,96680668,746099
