trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_rnha.oracleGeneral.zst",512,0.362433,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
"meta_rnha.oracleGeneral.zst",512,0,96680668,0
