trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_rnha.oracleGeneral.zst",512,0.802995,96680668,7757460
"meta_rnha.oracleGeneral.zst",512,0.798877,96680668,1561710
"meta_rnha.oracleGeneral.zst",512,0.801702,96680668,954824
"meta_rnha.oracleGeneral.zst",512,0.802525,96680668,778546
"meta_rnha.oracleGeneral.zst",512,0.803114,96680668,690691
"meta_rnha.oracleGeneral.zst",512,0.803455,96680668,636100
"meta_rnha.oracleGeneral.zst",512,0.803706,96680668,598631
"meta_rnha.oracleGeneral.zst",512,0.803891,96680668,570748
"meta_rnha.oracleGeneral.zst",512,0.804043,96680668,548662
"meta_rnha.oracleGeneral.zst",512,0.804167,96680668,530977
"meta_rnha.oracleGeneral.zst",512,0.804266,96680668,516595
"meta_rnha.oracleGeneral.zst",512,0.804354,96680668,503869
"meta_rnha.oracleGeneral.zst",512,0.804432,96680668,493091
"meta_rnha.oracleGeneral.zst",512,0.804501,96680668,483681
"meta_rnha.oracleGeneral.zst",512,0.80456,96680668,475273
"meta_rnha.oracleGeneral.zst",512,0.804614,96680668,467682
"meta_rnha.oracleGeneral.zst",512,0.804664,96680668,460817
"meta_rnha.oracleGeneral.zst",512,0.80471,96680668,454547
"meta_rnha.oracleGeneral.zst",512,0.804752,96680668,448896
"meta_rnha.oracleGeneral.zst",512,0.80479,96680668,443715
