trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"meta_rnha.oracleGeneral.zst",2048,0.750566,96680668,9077791
"meta_rnha.oracleGeneral.zst",2048,0.744349,96680668,1754588
"meta_rnha.oracleGeneral.zst",2048,0.746213,96680668,1127594
"meta_rnha.oracleGeneral.zst",2048,0.747042,96680668,946334
"meta_rnha.oracleGeneral.zst",2048,0.747604,96680668,848175
"meta_rnha.oracleGeneral.zst",2048,0.747953,96680668,784133
"meta_rnha.oracleGeneral.zst",2048,0.74822,96680668,737687
"meta_rnha.oracleGeneral.zst",2048,0.748423,96680668,702148
"meta_rnha.oracleGeneral.zst",2048,0.748589,96680668,673050
"meta_rnha.oracleGeneral.zst",2048,0.748723,96680668,649650
"meta_rnha.oracleGeneral.zst",2048,0.748841,96680668,629369
"meta_rnha.oracleGeneral.zst",2048,0.748943,96680668,611718
"meta_rnha.oracleGeneral.zst",2048,0.749031,96680668,595943
"meta_rnha.oracleGeneral.zst",2048,0.74911,96680668,582873
"meta_rnha.oracleGeneral.zst",2048,0.749182,96680668,570703
"meta_rnha.oracleGeneral.zst",2048,0.749252,96680668,559261
"meta_rnha.oracleGeneral.zst",2048,0.749309,96680668,549000
"meta_rnha.oracleGeneral.zst",2048,0.749363,96680668,539829
"meta_rnha.oracleGeneral.zst",2048,0.749418,96680668,530734
"meta_rnha.oracleGeneral.zst",2048,0.749467,96680668,522376
