trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"meta_rprn.oracleGeneral.zst",1,29030,0.59364,88470732,8302538
"meta_rprn.oracleGeneral.zst",1,29030,0.592437,88470732,1192313
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1062397
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059171
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
"meta_rprn.oracleGeneral.zst",1,29030,0.592419,88470732,1059098
