trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"w01.oracleGeneral.bin.zst",261670,0.766543,215796257,18615984
"w01.oracleGeneral.bin.zst",261670,0.75743,215796257,10306134
"w01.oracleGeneral.bin.zst",261670,0.756281,215796257,8676235
"w01.oracleGeneral.bin.zst",261670,0.754384,215796257,8808147
"w01.oracleGeneral.bin.zst",261670,0.754262,215796257,8400413
"w01.oracleGeneral.bin.zst",261670,0.754291,215796257,8353061
"w01.oracleGeneral.bin.zst",261670,0.754343,215796257,8329009
"w01.oracleGeneral.bin.zst",261670,0.754455,215796257,8289624
"w01.oracleGeneral.bin.zst",261670,0.754465,215796257,8262550
"w01.oracleGeneral.bin.zst",261670,0.754506,215796257,8250183
"w01.oracleGeneral.bin.zst",261670,0.75453,215796257,8236536
"w01.oracleGeneral.bin.zst",261670,0.754534,215796257,8287759
"w01.oracleGeneral.bin.zst",261670,0.754581,215796257,8226307
"w01.oracleGeneral.bin.zst",261670,0.754708,215796257,8191089
"w01.oracleGeneral.bin.zst",261670,0.754708,215796257,8190703
"w01.oracleGeneral.bin.zst",261670,0.754708,215796257,8198512
"w01.oracleGeneral.bin.zst",261670,0.754708,215796257,8191420
"w01.oracleGeneral.bin.zst",261670,0.754708,215796257,8188610
"w01.oracleGeneral.bin.zst",261670,0.754709,215796257,8188098
"w01.oracleGeneral.bin.zst",261670,0.754711,215796257,8188342
