trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"w01.oracleGeneral.bin.zst",512,0.848607,215796257,16595778
"w01.oracleGeneral.bin.zst",512,0.84825,215796257,3012100
"w01.oracleGeneral.bin.zst",512,0.849282,215796257,2677040
"w01.oracleGeneral.bin.zst",512,0.849447,215796257,2603548
"w01.oracleGeneral.bin.zst",512,0.849541,215796257,2575341
"w01.oracleGeneral.bin.zst",512,0.849602,215796257,2551652
"w01.oracleGeneral.bin.zst",512,0.849651,215796257,2535214
"w01.oracleGeneral.bin.zst",512,0.849684,215796257,2523532
"w01.oracleGeneral.bin.zst",512,0.849706,215796257,2512507
"w01.oracleGeneral.bin.zst",512,0.849727,215796257,2506006
"w01.oracleGeneral.bin.zst",512,0.849747,215796257,2498744
"w01.oracleGeneral.bin.zst",512,0.849756,215796257,2494608
"w01.oracleGeneral.bin.zst",512,0.849766,215796257,2491245
"w01.oracleGeneral.bin.zst",512,0.849771,215796257,2489297
"w01.oracleGeneral.bin.zst",512,0.849779,215796257,2487977
"w01.oracleGeneral.bin.zst",512,0.849783,215796257,2486649
"w01.oracleGeneral.bin.zst",512,0.849786,215796257,2484959
"w01.oracleGeneral.bin.zst",512,0.849788,215796257,2484017
"w01.oracleGeneral.bin.zst",512,0.849786,215796257,2482861
"w01.oracleGeneral.bin.zst",512,0.849788,215796257,2481698
