trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"wiki_2019t.oracleGeneral.zst",0,40945,0.22179,207646002,30390321
"wiki_2019t.oracleGeneral.zst",0,40945,0.214451,207646002,17427379
"wiki_2019t.oracleGeneral.zst",0,40945,0.213961,207646002,15986717
"wiki_2019t.oracleGeneral.zst",0,40945,0.213907,207646002,15775506
"wiki_2019t.oracleGeneral.zst",0,40945,0.213913,207646002,15744712
"wiki_2019t.oracleGeneral.zst",0,40945,0.213919,207646002,15725329
"wiki_2019t.oracleGeneral.zst",0,40945,0.213923,207646002,15682213
"wiki_2019t.oracleGeneral.zst",0,40945,0.213923,207646002,15688849
"wiki_2019t.oracleGeneral.zst",0,40945,0.213924,207646002,15723750
"wiki_2019t.oracleGeneral.zst",0,40945,0.213924,207646002,15716389
"wiki_2019t.oracleGeneral.zst",0,40945,0.213925,207646002,15672853
"wiki_2019t.oracleGeneral.zst",0,40945,0.213925,207646002,15695549
"wiki_2019t.oracleGeneral.zst",0,40945,0.213926,207646002,15722422
"wiki_2019t.oracleGeneral.zst",0,40945,0.213927,207646002,15713281
"wiki_2019t.oracleGeneral.zst",0,40945,0.213928,207646002,15662661
"wiki_2019t.oracleGeneral.zst",0,40945,0.213928,207646002,15705580
"wiki_2019t.oracleGeneral.zst",0,40945,0.213929,207646002,15720537
"wiki_2019t.oracleGeneral.zst",0,40945,0.21393,207646002,15709332
"wiki_2019t.oracleGeneral.zst",0,40945,0.21393,207646002,15647162
"wiki_2019t.oracleGeneral.zst",0,40945,0.213931,207646002,15721055
