trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"wiki_2019t.oracleGeneral.zst",81890,0.151147,207646002,23004908
"wiki_2019t.oracleGeneral.zst",81890,0.141705,207646002,14891489
"wiki_2019t.oracleGeneral.zst",81890,0.143877,207646002,13009287
"wiki_2019t.oracleGeneral.zst",81890,0.144828,207646002,12465526
"wiki_2019t.oracleGeneral.zst",81890,0.145546,207646002,12178110
"wiki_2019t.oracleGeneral.zst",81890,0.145918,207646002,11971946
"wiki_2019t.oracleGeneral.zst",81890,0.146153,207646002,11852760
"wiki_2019t.oracleGeneral.zst",81890,0.146308,207646002,11967901
"wiki_2019t.oracleGeneral.zst",81890,0.146404,207646002,11924350
"wiki_2019t.oracleGeneral.zst",81890,0.146476,207646002,11888058
"wiki_2019t.oracleGeneral.zst",81890,0.146523,207646002,11834943
"wiki_2019t.oracleGeneral.zst",81890,0.146565,207646002,11638952
"wiki_2019t.oracleGeneral.zst",81890,0.146599,207646002,11843495
"wiki_2019t.oracleGeneral.zst",81890,0.146629,207646002,11858891
"wiki_2019t.oracleGeneral.zst",81890,0.146637,207646002,11844488
"wiki_2019t.oracleGeneral.zst",81890,0.146666,207646002,11809671
"wiki_2019t.oracleGeneral.zst",81890,0.146671,207646002,11721579
"wiki_2019t.oracleGeneral.zst",81890,0.146678,207646002,11676327
"wiki_2019t.oracleGeneral.zst",81890,0.146683,207646002,11841150
"wiki_2019t.oracleGeneral.zst",81890,0.146696,207646002,11833515
