trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"wiki_2019t.oracleGeneral.zst",128,0.89118,207646002,13553355
"wiki_2019t.oracleGeneral.zst",128,0.889697,207646002,3800827
"wiki_2019t.oracleGeneral.zst",128,0.895006,207646002,2282960
"wiki_2019t.oracleGeneral.zst",128,0.896391,207646002,1838773
"wiki_2019t.oracleGeneral.zst",128,0.897249,207646002,1604299
"wiki_2019t.oracleGeneral.zst",128,0.897792,207646002,1451809
"wiki_2019t.oracleGeneral.zst",128,0.898185,207646002,1343618
"wiki_2019t.oracleGeneral.zst",128,0.898487,207646002,1261121
"wiki_2019t.oracleGeneral.zst",128,0.898728,207646002,1195727
"wiki_2019t.oracleGeneral.zst",128,0.898925,207646002,1142285
"wiki_2019t.oracleGeneral.zst",128,0.899092,207646002,1097502
"wiki_2019t.oracleGeneral.zst",128,0.899235,207646002,1059047
"wiki_2019t.oracleGeneral.zst",128,0.899358,207646002,1025685
"wiki_2019t.oracleGeneral.zst",128,0.899467,207646002,996458
"wiki_2019t.oracleGeneral.zst",128,0.899564,207646002,970606
"wiki_2019t.oracleGeneral.zst",128,0.899651,207646002,947448
"wiki_2019t.oracleGeneral.zst",128,0.89973,207646002,926381
"wiki_2019t.oracleGeneral.zst",128,0.899802,207646002,907167
"wiki_2019t.oracleGeneral.zst",128,0.899868,207646002,889566
"wiki_2019t.oracleGeneral.zst",128,0.899928,207646002,873577
