trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"wiki_2019t.oracleGeneral.zst",512,0.798365,207646002,23431968
"wiki_2019t.oracleGeneral.zst",512,0.79442,207646002,7939119
"wiki_2019t.oracleGeneral.zst",512,0.804053,207646002,4886645
"wiki_2019t.oracleGeneral.zst",512,0.806965,207646002,3930947
"wiki_2019t.oracleGeneral.zst",512,0.808751,207646002,3433994
"wiki_2019t.oracleGeneral.zst",512,0.809878,207646002,3117144
"wiki_2019t.oracleGeneral.zst",512,0.810696,207646002,2890719
"wiki_2019t.oracleGeneral.zst",512,0.811321,207646002,2718333
"wiki_2019t.oracleGeneral.zst",512,0.81182,207646002,2581449
"wiki_2019t.oracleGeneral.zst",512,0.812229,207646002,2469238
"wiki_2019t.oracleGeneral.zst",512,0.81258,207646002,2373783
"wiki_2019t.oracleGeneral.zst",512,0.81288,207646002,2291737
"wiki_2019t.oracleGeneral.zst",512,0.813146,207646002,2219540
"wiki_2019t.oracleGeneral.zst",512,0.813381,207646002,2155633
"wiki_2019t.oracleGeneral.zst",512,0.813593,207646002,2098336
"wiki_2019t.oracleGeneral.zst",512,0.813783,207646002,2046892
"wiki_2019t.oracleGeneral.zst",512,0.813957,207646002,2000043
"wiki_2019t.oracleGeneral.zst",512,0.814115,207646002,1957197
"wiki_2019t.oracleGeneral.zst",512,0.814262,207646002,1917601
"wiki_2019t.oracleGeneral.zst",512,0.814399,207646002,1880662
