trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_0.3_10_100.oracleGeneral",128,0.959205,100000000,3947167
"zipf_0.3_10_100.oracleGeneral",128,0.957814,100000000,366090
"zipf_0.3_10_100.oracleGeneral",128,0.959712,100000000,42392
"zipf_0.3_10_100.oracleGeneral",128,0.959839,100000000,16349
"zipf_0.3_10_100.oracleGeneral",128,0.95988,100000000,10454
"zipf_0.3_10_100.oracleGeneral",128,0.959896,100000000,8111
"zipf_0.3_10_100.oracleGeneral",128,0.959906,100000000,6848
"zipf_0.3_10_100.oracleGeneral",128,0.959912,100000000,6030
"zipf_0.3_10_100.oracleGeneral",128,0.959916,100000000,5509
"zipf_0.3_10_100.oracleGeneral",128,0.959919,100000000,5108
"zipf_0.3_10_100.oracleGeneral",128,0.959921,100000000,4803
"zipf_0.3_10_100.oracleGeneral",128,0.959923,100000000,4559
"zipf_0.3_10_100.oracleGeneral",128,0.959924,100000000,4366
"zipf_0.3_10_100.oracleGeneral",128,0.959926,100000000,4203
"zipf_0.3_10_100.oracleGeneral",128,0.959927,100000000,4058
"zipf_0.3_10_100.oracleGeneral",128,0.959928,100000000,3937
"zipf_0.3_10_100.oracleGeneral",128,0.959928,100000000,3839
"zipf_0.3_10_100.oracleGeneral",128,0.959929,100000000,3752
"zipf_0.3_10_100.oracleGeneral",128,0.95993,100000000,3670
"zipf_0.3_10_100.oracleGeneral",128,0.95993,100000000,3606
