trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_0_10_100.oracleGeneral",256,0.932879,100000000,6490010
"zipf_0_10_100.oracleGeneral",256,0.929066,100000000,781050
"zipf_0_10_100.oracleGeneral",256,0.932653,100000000,63268
"zipf_0_10_100.oracleGeneral",256,0.932805,100000000,14053
"zipf_0_10_100.oracleGeneral",256,0.932817,100000000,10145
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9838
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9813
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
"zipf_0_10_100.oracleGeneral",256,0.932818,100000000,9811
