trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_1.3_10_100.oracleGeneral",0,0.145439,100000000,6870886
"zipf_1.3_10_100.oracleGeneral",0,0.144499,100000000,4460183
"zipf_1.3_10_100.oracleGeneral",0,0.148143,100000000,3838472
"zipf_1.3_10_100.oracleGeneral",0,0.149721,100000000,3569805
"zipf_1.3_10_100.oracleGeneral",0,0.150841,100000000,3410469
"zipf_1.3_10_100.oracleGeneral",0,0.151628,100000000,3298016
"zipf_1.3_10_100.oracleGeneral",0,0.152236,100000000,3212185
"zipf_1.3_10_100.oracleGeneral",0,0.152732,100000000,3142422
"zipf_1.3_10_100.oracleGeneral",0,0.153151,100000000,3083778
"zipf_1.3_10_100.oracleGeneral",0,0.153508,100000000,3034232
"zipf_1.3_10_100.oracleGeneral",0,0.153817,100000000,2991285
"zipf_1.3_10_100.oracleGeneral",0,0.154096,100000000,2952809
"zipf_1.3_10_100.oracleGeneral",0,0.154344,100000000,2918544
"zipf_1.3_10_100.oracleGeneral",0,0.15457,100000000,2887469
"zipf_1.3_10_100.oracleGeneral",0,0.154775,100000000,2859275
"zipf_1.3_10_100.oracleGeneral",0,0.154964,100000000,2833479
"zipf_1.3_10_100.oracleGeneral",0,0.155141,100000000,2809491
"zipf_1.3_10_100.oracleGeneral",0,0.155302,100000000,2787524
"zipf_1.3_10_100.oracleGeneral",0,0.155453,100000000,2766797
"zipf_1.3_10_100.oracleGeneral",0,0.155595,100000000,2747351
