trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_1.7_10_100.oracleGeneral",51,0.00129441,100000000,119169
"zipf_1.7_10_100.oracleGeneral",51,0.00120719,100000000,86439
"zipf_1.7_10_100.oracleGeneral",51,0.00123129,100000000,78800
"zipf_1.7_10_100.oracleGeneral",51,0.00124248,100000000,75978
"zipf_1.7_10_100.oracleGeneral",51,0.00125095,100000000,74501
"zipf_1.7_10_100.oracleGeneral",51,0.0012553,100000000,73407
"zipf_1.7_10_100.oracleGeneral",51,0.00125856,100000000,71133
"zipf_1.7_10_100.oracleGeneral",51,0.00126022,100000000,73003
"zipf_1.7_10_100.oracleGeneral",51,0.00126184,100000000,72664
"zipf_1.7_10_100.oracleGeneral",51,0.00126296,100000000,71842
"zipf_1.7_10_100.oracleGeneral",51,0.0012636,100000000,70748
"zipf_1.7_10_100.oracleGeneral",51,0.00126412,100000000,72383
"zipf_1.7_10_100.oracleGeneral",51,0.00126458,100000000,72035
"zipf_1.7_10_100.oracleGeneral",51,0.00126475,100000000,70046
"zipf_1.7_10_100.oracleGeneral",51,0.00126488,100000000,72296
"zipf_1.7_10_100.oracleGeneral",51,0.00126511,100000000,72145
"zipf_1.7_10_100.oracleGeneral",51,0.0012652,100000000,71278
"zipf_1.7_10_100.oracleGeneral",51,0.00126523,100000000,70746
"zipf_1.7_10_100.oracleGeneral",51,0.0012654,100000000,72168
"zipf_1.7_10_100.oracleGeneral",51,0.00126539,100000000,71788
