trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_1.7_10_100.oracleGeneral",256,0.0006705,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
"zipf_1.7_10_100.oracleGeneral",256,0,100000000,0
