trace_path,ignore_obj_size,cache_size,miss_ratio,n_req,n_promoted
"zipf_1.oracleGeneral",1,399955,0.0897233,100000000,9238646
"zipf_1.oracleGeneral",1,399955,0.0809313,100000000,5394894
"zipf_1.oracleGeneral",1,399955,0.0796142,100000000,4744036
"zipf_1.oracleGeneral",1,399955,0.0793781,100000000,4640499
"zipf_1.oracleGeneral",1,399955,0.0793327,100000000,4587966
"zipf_1.oracleGeneral",1,399955,0.0793229,100000000,4595199
"zipf_1.oracleGeneral",1,399955,0.0793203,100000000,4594491
"zipf_1.oracleGeneral",1,399955,0.0793205,100000000,4579931
"zipf_1.oracleGeneral",1,399955,0.0793209,100000000,4577273
"zipf_1.oracleGeneral",1,399955,0.0793214,100000000,4606998
"zipf_1.oracleGeneral",1,399955,0.0793223,100000000,4581382
"zipf_1.oracleGeneral",1,399955,0.0793226,100000000,4577339
"zipf_1.oracleGeneral",1,399955,0.0793233,100000000,4602714
"zipf_1.oracleGeneral",1,399955,0.0793238,100000000,4584310
"zipf_1.oracleGeneral",1,399955,0.0793241,100000000,4577774
"zipf_1.oracleGeneral",1,399955,0.0793242,100000000,4595711
"zipf_1.oracleGeneral",1,399955,0.0793247,100000000,4589877
"zipf_1.oracleGeneral",1,399955,0.0793246,100000000,4578692
"zipf_1.oracleGeneral",1,399955,0.0793244,100000000,4579136
"zipf_1.oracleGeneral",1,399955,0.0793246,100000000,4604453
