trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"zipf_2_10_100.oracleGeneral",0,0.00019013,100000000,19221
"zipf_2_10_100.oracleGeneral",0,0.00015679,100000000,17140
"zipf_2_10_100.oracleGeneral",0,0.00015779,100000000,16075
"zipf_2_10_100.oracleGeneral",0,0.00015894,100000000,15667
"zipf_2_10_100.oracleGeneral",0,0.00015944,100000000,14714
"zipf_2_10_100.oracleGeneral",0,0.00015961,100000000,14920
"zipf_2_10_100.oracleGeneral",0,0.00015958,100000000,15404
"zipf_2_10_100.oracleGeneral",0,0.00015982,100000000,14015
"zipf_2_10_100.oracleGeneral",0,0.00015976,100000000,15529
"zipf_2_10_100.oracleGeneral",0,0.00015989,100000000,15284
"zipf_2_10_100.oracleGeneral",0,0.00015992,100000000,14072
"zipf_2_10_100.oracleGeneral",0,0.00015997,100000000,15454
"zipf_2_10_100.oracleGeneral",0,0.00016001,100000000,15144
"zipf_2_10_100.oracleGeneral",0,0.00016023,100000000,14161
"zipf_2_10_100.oracleGeneral",0,0.00016009,100000000,15357
"zipf_2_10_100.oracleGeneral",0,0.00016026,100000000,14775
"zipf_2_10_100.oracleGeneral",0,0.00016008,100000000,14535
"zipf_2_10_100.oracleGeneral",0,0.00016022,100000000,15273
"zipf_2_10_100.oracleGeneral",0,0.00016008,100000000,13935
"zipf_2_10_100.oracleGeneral",0,0.0001602,100000000,15426
