trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"../trace/zipf_1_10_100.oracleGeneral",1024,0.1262,100000000,9778343
"../trace/zipf_1_10_100.oracleGeneral",1024,0.119054,100000000,5631504
"../trace/zipf_1_10_100.oracleGeneral",1024,0.123112,100000000,4499994
"../trace/zipf_1_10_100.oracleGeneral",1024,0.125257,100000000,4040762
"../trace/zipf_1_10_100.oracleGeneral",1024,0.126639,100000000,3806504
"../trace/zipf_1_10_100.oracleGeneral",1024,0.127534,100000000,3656147
"../trace/zipf_1_10_100.oracleGeneral",1024,0.128191,100000000,3554306
"../trace/zipf_1_10_100.oracleGeneral",1024,0.128693,100000000,3477418
"../trace/zipf_1_10_100.oracleGeneral",1024,0.129109,100000000,3413790
"../trace/zipf_1_10_100.oracleGeneral",1024,0.12945,100000000,3353524
